"kmeans_cluster","n_clientes","total_productos_medio","productos_distintos","dias_activos_promedio","compras_por_semana","compras_entre_semana","compras_fin_de_semana","prop_fin_semana"
"1",7692,149.628445137805,89.175637025481,63.0026001040042,17.7950109618857,137.166406656266,12.4620384815393,0.0832865600525483
"2",6717,75.9910674408218,55.7068631829686,51.6891469405985,11.4467496274288,65.8235819562305,10.1674854845913,0.133798429565544
"3",907,64.9713340683572,52.890848952591,14.6791620727674,32.6974750046044,56.6670341786108,8.30429988974642,0.127814828013372
