"Modelo","RMSE","MAE","MSE"
"POPULAR",1.51683780513663,1.00670040690354,2.30079692709171
"RANDOM",26.3460507462837,22.5952044276394,694.114389925754
"UBCF",1.76359719100096,1.2178824056272,3.11027505210648
"IBCF",2.28661713226495,1.37413896230224,5.2286179095676
"SVDF",1.57260721644806,1.01039634928311,2.47309345722452
