"Modelo","Precision","Recall","TPR","FPR"
"POPULAR",0.187132519222071,0.0805365475155229,0.0805365475155229,0.00564721537754633
"RANDOM",0.0185620619489035,0.00668824333232729,0.00668824333232729,0.00682811738977886
"UBCF",0.0236770691994573,0.00862207215077116,0.00862207215077116,0.00679051896745289
"IBCF",0.13208926044182,0.0371783465483233,0.0371783465483233,0.00478659769742156
"SVDF",0.0650836725463591,0.0291484915177086,0.0291484915177086,0.00650155898804572
