"cliente_id","score"
1,1.94365
4,1.94365
14,1.94365
18,1.94365
19,1.94365
22,1.94365
52,1.94365
65,1.94365
72,1.94365
74,1.94365
76,1.94365
81,1.94365
94,1.94365
106,1.94365
108,1.94365
113,1.94365
135,1.94365
140,1.94365
153,1.94365
161,1.94365
171,1.94365
174,1.94365
194,1.94365
202,1.94365
215,1.94365
230,1.94365
245,1.94365
247,1.94365
259,1.94365
281,1.94365
293,1.94365
300,1.94365
304,1.94365
321,1.94365
348,1.94365
358,1.94365
360,1.94365
369,1.94365
384,1.94365
410,1.94365
444,1.94365
450,1.94365
456,1.94365
471,1.94365
475,1.94365
485,1.94365
532,1.94365
548,1.94365
572,1.94365
577,1.94365
580,1.94365
592,1.94365
598,1.94365
614,1.94365
615,1.94365
621,1.94365
632,1.94365
633,1.94365
634,1.94365
644,1.94365
681,1.94365
697,1.94365
702,1.94365
708,1.94365
711,1.94365
714,1.94365
726,1.94365
735,1.94365
744,1.94365
776,1.94365
779,1.94365
785,1.94365
815,1.94365
833,1.94365
834,1.94365
843,1.94365
851,1.94365
861,1.94365
866,1.94365
868,1.94365
894,1.94365
896,1.94365
899,1.94365
907,1.94365
912,1.94365
916,1.94365
925,1.94365
928,1.94365
929,1.94365
958,1.94365
959,1.94365
961,1.94365
969,1.94365
980,1.94365
983,1.94365
1037,1.94365
1042,1.94365
1046,1.94365
1048,1.94365
1055,1.94365
1080,1.94365
1113,1.94365
1119,1.94365
1134,1.94365
1163,1.94365
1171,1.94365
1177,1.94365
1187,1.94365
1212,1.94365
1244,1.94365
1258,1.94365
1265,1.94365
1267,1.94365
1268,1.94365
1280,1.94365
1281,1.94365
1286,1.94365
1301,1.94365
1306,1.94365
1317,1.94365
1318,1.94365
1323,1.94365
1344,1.94365
1352,1.94365
1356,1.94365
1364,1.94365
1385,1.94365
1397,1.94365
1404,1.94365
1411,1.94365
1415,1.94365
1427,1.94365
1428,1.94365
1435,1.94365
1441,1.94365
1447,1.94365
1461,1.94365
1471,1.94365
1472,1.94365
1476,1.94365
1477,1.94365
1481,1.94365
1488,1.94365
1492,1.94365
1518,1.94365
1529,1.94365
1532,1.94365
1595,1.94365
1612,1.94365
1643,1.94365
1662,1.94365
1671,1.94365
1672,1.94365
1677,1.94365
1691,1.94365
1705,1.94365
1714,1.94365
1730,1.94365
1739,1.94365
1741,1.94365
1751,1.94365
1783,1.94365
1820,1.94365
1825,1.94365
1827,1.94365
1830,1.94365
1835,1.94365
1837,1.94365
1858,1.94365
1862,1.94365
1865,1.94365
1866,1.94365
1890,1.94365
1894,1.94365
1897,1.94365
1899,1.94365
1908,1.94365
1932,1.94365
1987,1.94365
1996,1.94365
2005,1.94365
2012,1.94365
2013,1.94365
2020,1.94365
2025,1.94365
2029,1.94365
2036,1.94365
2041,1.94365
