"cliente_id","score"
"0000595d5253705a2bf0c6f05ccbb800",1
"0006ef2f1c591a406fe01da160466230",1
"000c75b30bb0b237ec817d203e88a54f",1
"00156627eb7170d39cd164aac57dc5fb",1
"0018ed38657fd19d98728f532388f2b7",1
"00196f62ac27cc336d2dfa40d73d17e2",1
"002227ce7dd91136617b2675cd2fa8ab",1
"002867cbb9f0de2b4678b73bc8d8b3d9",1
"00314f3d0a9d4f4109f66c1206c211a7",1
"0033f6b64fd807c3ddde4a5b5e3b5f9b",1
"0035f17abc612d48ae4d0f5c38c4ec00",1
"00374cb7f0170153c519747b4062201b",1
"003d3ebe117cb786a4d73fea8d17319b",1
"003fa3344cb647a6af3ab9c765e86ad0",1
"00481cf3e91879592a2b8c57eee4f7db",1
"004c295640c8d688391908667270aa31",1
"0050903400103984041efdc280d8da21",1
"00537326bca29d951445cd364b8b5151",1
"0053f67b3c94ef9758de3aa1e43abe65",1
"0055706d5150d3ef95af9023def53033",1
"005657f891fe26a59ff7c86ecdb3540f",1
"00565b7300fe472b8ee35c89596b413e",1
"005694564a88fef5836dc13f46057dfb",1
"00581eee4acd753e70eea3bd02139b54",1
"005aedefe8a7974ac7875802888ba14c",1
"005e6021f9fdda5e1c3a0225cf7102d2",1
"005f5f170fb4fb80a1a5c4a6a98e7831",1
"006170c4fb70220e499415f83a59ef23",1
"00621b050938aa94253b4907ca3a423c",1
"0068bed782963cd2778a56520a464311",1
"006a71aa1d49c641ad7fbed6b4441011",1
"006aa3df0e8a170b0eeffb6ffc4d37f0",1
"006d88722f2a0c3b42368a165d918124",1
"0070dbc628261ef60c8d628f75559ac0",1
"0079984b08316a6c59ffc60f2bf2f0fe",1
"007b62b4c2649d618fcc5fd8413bfcf2",1
"007e107c419d56f77ee4184799ca8681",1
"0080422d8ae594ea199ab00659f692cd",1
"0081c4cd8a89ed39c1951057e862dfc8",1
"0087cac244a1ce322096a477364f390d",1
"00897323e258f1132f08ab393215d76a",1
"008a3ed7f5c452b35d7e2f89531b4e40",1
"008c694c2477e1a38083c6253f573756",1
"008eae973088bfdbfb468ffc37d6582d",1
"0093a0502a0281f2f77d619089ef30ed",1
"00958a22ef3693d3d6934de502ed66a4",1
"0096b145979530ec29b289d05e34d2f8",1
"0097b3cb2da118aeea2ad9bd2976253c",1
"00988aee2cf7035a955429542eca70aa",1
"00a2a3ba64bf707e4073b5d42accceac",1
"00a736ee6deb7d8b6de7c8701fbfb276",1
"00a8604e07f2ea689b011c5cb20118f5",1
"00ac2054f836bb2699e53a42d4b73f92",1
"00ad0e40a64e60fea4ee345c1a441280",1
"00ae694d81a199a390cd0c6954abb070",1
"00b0f6eadb0d8e62e9048dbea5580e46",1
"00b3e87c014db217475535de8f76a3b7",1
"00bba0548dcff6c684fd956fc0ec7cc4",1
"00bd944c410cdef7fc64b3bf0ac5cd10",1
"00c028cba42fa353966abe28d12834eb",1
"00c13a5dd02bed6f8b69a53a12e42ee9",1
"00c2654ac35c0a30532ce55e02fa00f4",1
"00c2cacef5e78a02cb4fb56cb65f57c3",1
"00c4baf60b8075463725910d1bf60ff0",1
"00c671d2ed250f0fe07a46c7263c648a",1
"00d2e4b996a53e737a314c644dffb596",1
"00d5b0cfc45df385d8aa06c817ca6e04",1
"00d8f59e05d4fc602c2b60ef1f5c96b0",1
"00dc562aa3358d32137ec679cf1dff65",1
